Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
55,2.0,0.0,0.0,1066.0,15.0,123.0,3170.0,0.1,71.50899999999997,0.0,0.0,474.07150173187256,,,,,,,,,,,,,,,,,,,,,27.846662649829682,21.544819761807734,68.2202327393168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1140.0,16.0,74.0,3244.0,0.1,28.50700000000005,0.0,0.0,480.8570795059204,,,,,,,,,,,,,,,,,,,,,8.259014030193624,8.196115766276188,27.951708426911075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1212.0,17.0,72.0,3316.0,0.1,28.80700000000004,0.0,0.0,487.7252390384674,,,,,,,,,,,,,,,,,,,,,9.667040220470442,8.053119757887082,28.167279495838315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1333.0,18.0,121.0,3437.0,0.1,70.10900000000001,0.0,0.0,498.40107345581055,,,,,,,,,,,,,,,,,,,,,29.059515975991197,20.446215017870266,66.72618420913913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1388.0,19.0,55.0,3492.0,0.1,31.20700000000002,0.0,0.0,503.53631687164307,,,,,,,,,,,,,,,,,,,,,11.753422376100671,9.930886320366897,30.621774696933628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1421.0,20.0,33.0,3525.0,0.1,14.806999999999993,0.0,0.0,506.7515103816986,,,,,,,,,,,,,,,,,,,,,4.269318763727899,4.963200684686619,14.695488762833886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,59.0,1.0,59.0,3584.0,0.1,25.60900000000004,0.0,0.0,683.1155049800873,,,,,,,,,,,,,,,,,,,,,6.807609900417588,8.043181260897695,25.25784144091575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,244.0,2.0,185.0,3769.0,0.1,115.506,0.0,0.0,699.2825963497162,,,,,,,,,,,,,,,,,,,,,55.462954292888085,31.8686112674254,105.45616032029604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,310.0,3.0,66.0,3835.0,0.1,48.706999999999994,0.0,0.0,705.4686515331268,,,,,,,,,,,,,,,,,,,,,18.901217032282137,16.04521655526487,47.55458128385582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,388.0,4.0,78.0,3913.0,0.1,64.505,0.0,0.0,712.4923503398895,,,,,,,,,,,,,,,,,,,,,27.40794570384861,20.444260761498622,62.49210194689166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,444.0,5.0,56.0,3969.0,0.1,22.60700000000004,0.0,0.0,717.7044978141785,,,,,,,,,,,,,,,,,,,,,6.082019344150122,6.911290604941472,22.311006618958892,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,527.0,6.0,83.0,4052.0,0.1,29.32300000000006,0.0,0.0,725.1917719841003,,,,,,,,,,,,,,,,,,,,,7.314692360342494,9.010108677226782,28.773398557808626,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,672.0,7.0,145.0,4197.0,0.1,95.507,0.0,0.0,737.9677345752716,,,,,,,,,,,,,,,,,,,,,38.224205393900014,26.466262421932353,90.14468945209921,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,724.0,8.0,52.0,4249.0,0.1,26.00500000000001,0.0,0.0,743.0228245258331,,,,,,,,,,,,,,,,,,,,,10.20397271007489,7.47608196588476,25.525418731119615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,802.0,9.0,78.0,4327.0,0.1,46.50599999999999,0.0,0.0,750.0734179019928,,,,,,,,,,,,,,,,,,,,,19.02913900353941,14.321841476703543,45.11190585753316,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,844.0,10.0,42.0,4369.0,0.1,22.006000000000014,0.0,0.0,754.0908720493317,,,,,,,,,,,,,,,,,,,,,8.230612702156415,7.07363779040404,21.703699962734945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,897.0,11.0,53.0,4422.0,0.1,33.006,0.0,0.0,759.0408987998962,,,,,,,,,,,,,,,,,,,,,11.391016190358283,11.02187652062659,32.467178030794564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,926.0,12.0,29.0,4451.0,0.1,13.705999999999994,0.0,0.0,761.9029393196106,,,,,,,,,,,,,,,,,,,,,4.122136049295873,4.711023816590921,13.613671784467574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
